"doi","period","issn","ut"
"10.1007/s10994-017-5639-3","2017","0885-6125","409478700008"
"10.1007/s11077-016-9241-5","2016","0032-2687","387861100007"
"10.1007/s11077-017-9298-9","2017","0032-2687","415953600005"
"10.1007/s10750-016-2734-6","2016","0018-8158","378225900004"
"10.1007/s10750-016-2706-x","2016","0018-8158","376541800002"
"10.1007/s10750-016-2655-4","2016","0018-8158","379645500010"
"10.1007/s10750-016-3037-7","2017","0018-8158","394354700020"
"10.1007/s10750-016-2998-x","2017","0018-8158","392386500016"
"10.1007/s11104-016-2918-x","2016","0032-079X","386787000011"
"10.1007/s11104-016-2958-2","2016","0032-079X","390034900007"
"10.1007/s11104-016-2849-6","2016","0032-079X","385205100011"
"10.1007/s11104-016-2920-3","2017","0032-079X","394142900009"
"10.1007/s11104-017-3328-4","2017","0032-079X","415350500014"
"10.1007/s11104-016-3128-2","2017","0032-079X","411232600006"
"10.1007/s11104-017-3306-x","2017","0032-079X","411232600026"
"10.1007/s11104-017-3293-y","2017","0032-079X","411232600008"
"10.1007/s12031-017-0886-0","2017","0895-8696","398738000001"
"10.1007/s12031-017-0903-3","2017","0895-8696","398738000016"
"10.1007/s12035-015-9453-2","2016","0893-7648","382871100039"
"10.1007/s12035-015-9533-3","2016","0893-7648","387231300044"
"10.1007/s12035-016-9694-8","2017","0893-7648","392133900058"
"10.1007/s12035-015-9674-4","2017","0893-7648","392133900027"
"10.1007/s12035-016-0043-8","2017","0893-7648","405710900073"
"10.1007/s12035-016-9918-y","2017","0893-7648","405710900018"
"10.1007/s10797-016-9419-y","2017","0927-5940","410561100006"
"10.1007/s10455-015-9494-9","2016","0232-704X","378277000002"
"10.1007/s10858-017-0134-5","2017","0925-2738","414206400001"
"10.1007/s10858-017-0110-0","2017","0925-2738","403406900002"
"10.1007/s11024-017-9314-4","2017","0026-4695","409179000005"
"10.1007/s10592-016-0874-x","2016","1566-0621","387222200016"
"10.1007/s10592-016-0827-4","2016","1566-0621","379220500009"
"10.1007/s10980-015-0309-y","2016","0921-2973","374962000002"
"10.1007/s10479-014-1553-2","2016","0254-5330","373223800010"
"10.1007/s10470-015-0655-3","2016","0925-1030","373645500011"
"10.1007/s10470-016-0788-z","2016","0925-1030","387770900003"
"10.1007/s11136-016-1437-9","2017","0962-9343","399009900002"
"10.1007/s11136-017-1662-x","2017","0962-9343","415280000010"
"10.1007/s11136-016-1427-y","2017","0962-9343","396063100008"
"10.1007/s11005-016-0870-6","2016","0377-9017","382399700003"
"10.1007/s11005-017-0949-8","2017","0377-9017","405026500005"
"10.1007/s12010-016-2320-4","2017","0273-2289","400867300015"
"10.1007/s10557-016-6640-y","2016","0920-3206","372299300005"
"10.1007/s10557-016-6676-z","2016","0920-3206","385163100003"
"10.1007/s10683-015-9455-y","2016","1386-4157","382035300004"
"10.1007/s10683-015-9470-z","2016","1386-4157","388937900008"
"10.1007/s10683-016-9499-7","2017","1386-4157","407373300002"
"10.1007/s11127-016-0378-8","2016","0048-5829","386170200006"
"10.1007/s11406-017-9878-0","2017","0048-3893","412339500039"
"10.1007/s11406-016-9783-y","2017","0048-3893","404241400026"
"10.1007/s10529-016-2279-9","2017","0141-5492","398114000001"
"10.1007/s12026-017-8952-9","2017","0257-277X","416918100004"
"10.1007/s12028-015-0230-x","2016","1541-6933","380150700005"
"10.1007/s12028-016-0246-x","2016","1541-6933","385181000007"
"10.1007/s10800-016-0966-9","2016","0021-891X","377469400004"
"10.1007/s10623-015-0072-8","2016","0925-1022","377188000009"
"10.1007/s11948-015-9673-x","2016","1353-3452","382134300012"
"10.1007/s10934-016-0222-z","2016","1380-2224","387111500022"
"10.1007/s10967-015-4665-5","2016","0236-5731","378410600022"
"10.1007/s10967-016-5051-7","2017","0236-5731","392075200057"
"10.1007/s10856-016-5732-3","2016","0957-4530","379031200005"
"10.1007/s10856-016-5800-8","2016","0957-4530","388631200011"
"10.1007/s10856-016-5804-4","2016","0957-4530","388631200017"
"10.1007/s11257-017-9196-z","2017","0924-1868","414997500004"
"10.1007/s10545-017-0016-8","2017","0141-8955","399660000004"
"10.1007/s10545-016-0002-6","2017","0141-8955","394351500007"
"10.1007/s10659-016-9615-0","2017","0374-3535","401001600002"
"10.1007/s11019-017-9773-2","2017","1386-7423","414424500008"
"10.1007/s11154-016-9353-4","2016","1389-9155","390069000017"
"10.1007/s11154-016-9342-7","2016","1389-9155","376887800005"
"10.1007/s11154-016-9339-2","2016","1389-9155","376887800004"
"10.1007/s11154-016-9348-1","2016","1389-9155","376887800003"
"10.1007/s11569-016-0278-x","2016","1871-4757","390127200001"
"10.1007/s11569-016-0259-0","2016","1871-4757","380149900003"
"10.1007/s11569-017-0294-5","2017","1871-4757","399179600001"
"10.1007/s10806-016-9620-0","2016","1187-7863","381374800009"
"10.1007/s10806-017-9665-8","2017","1187-7863","403037200006"
"10.1007/s11540-016-9318-8","2016","0014-3065","382988300004"
"10.1007/s11222-015-9550-0","2016","0960-3174","374692000006"
"10.1007/s11222-015-9588-z","2016","0960-3174","381985800009"
"10.1007/s11222-015-9573-6","2016","0960-3174","379084400007"
"10.1007/s10711-016-0212-y","2017","0046-5755","400074400010"
"10.1007/s10849-015-9232-5","2016","0925-8531","387485700005"
"10.1007/s11228-016-0370-y","2017","1877-0533","394442400006"
"10.1007/s11229-015-0847-5","2016","0039-7857","382391800002"
"10.1007/s11229-015-0892-0","2016","0039-7857","385086400011"
"10.1007/s11229-016-1019-y","2016","0039-7857","374686700006"
"10.1007/s11229-016-1014-3","2017","0039-7857","401667100019"
"10.1007/s11229-015-0941-8","2017","0039-7857","394286600010"
"10.1007/s11229-015-0945-4","2017","0039-7857","408728500009"
"10.1007/s10546-016-0161-x","2016","0006-8314","384412900001"
"10.1007/s12053-016-9465-4","2017","1570-646X","398999800011"
"10.1007/s11262-016-1381-3","2016","0920-8569","387265600006"
"10.1007/s11262-017-1489-0","2017","0920-8569","412097300007"
