"product_title_sort","Title","Format","product_id","ISSN print","ISSN electronic","Imprint","Primary Language","Vols Qty","Scheduled Vol Nos","Single Issues per volume","Open Access Option","Comment"
"Acta Mathematicae Applicatae Sinica English Series","Acta Mathematicae Applicatae Sinica, English Series","PE OF",10255,"0168-9673","1618-3932","Institute of Applied Mathematics, Chinese Academy of Sciences and Chinese Mathematical Society, co-publsihed with Springer","English",1,"32",4,,"Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide. "
"Acta Mechanica","Acta Mechanica","PE OF",707,"0001-5970","1619-6937","Springer","English",1,"227",12,"Hybrid (Open Choice)",
"Acta Mechanica Sinica","Acta Mechanica Sinica","PE OF",10409,"0567-7718","1614-3116","The Chinese Society of Theoretical and Applied Mechanics; Institute of Mechanics, Chinese Academy of Sciences, co-published with Springer","English",1,"32",6,"Hybrid (Open Choice)","Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide. "
"Acta Metallurgica Sinica English Letters","Acta Metallurgica Sinica (English Letters)","PE OF",40195,"1006-7191","2194-1289","The Chinese Society for Metals, co-published with Springer","English",1,"29",12,,"Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide. "
"Acta Neurochirurgica","Acta Neurochirurgica","PE OF S",701,"0001-6268","0942-0940","Springer","English",1,"158",12,"Hybrid (Open Choice)",
"Acta Neurologica Belgica","Acta Neurologica Belgica","E OF S",13760,,"2240-2993","Springer","English",1,"116",4,"Hybrid (Open Choice)","Available in electronic format only. "
"Acta Neuropathologica","Acta Neuropathologica","PE OF",401,"0001-6322","1432-0533","Springer","English",2,"131-132",6,"Hybrid (Open Choice)",
"Acta Neuropathologica Communications","Acta Neuropathologica Communications","E OA C",40478,,"2051-5960","BioMed Central","English",1,"4",1,"Fully Open Access","Available in electronic format only. Open Access. "
"Acta Oceanologica Sinica","Acta Oceanologica Sinica","PE OF",13131,"0253-505X","1869-1099","The Chinese Society of Oceanography, co-published with Springer","English",1,"35",12,,"Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide. "
"Acta Physiologiae Plantarum","Acta Physiologiae Plantarum","E S C",11738,,"1861-1664","Springer","English",1,"38",12,"Hybrid (Open Choice)","Available in electronic format only. "
"Acta Veterinaria Scandinavica","Acta Veterinaria Scandinavica","E OA C",13028,,"1751-0147","BioMed Central","English",1,"58",1,"Fully Open Access","Available in electronic format only. Open Access. "
"Adaptive Human Behavior Physiology","Adaptive Human Behavior and Physiology","E OF S",40750,,"2198-7335","Springer","English",1,"2",4,"Hybrid (Open Choice)","Available in electronic format only. "
"Addiction Science Clinical Practice","Addiction Science & Clinical Practice","E OA C",13722,,"1940-0640","BioMed Central","English",1,"11",1,"Fully Open Access","Available in electronic format only. Open Access. "
"adhäsion KLEBEN DICHTEN","adhäsion KLEBEN & DICHTEN","PE",35145,"1619-1919","2192-8681","Springer Vieweg","German",1,"60",12,,"Erratum Journals List: 2nd Price amendment. Electronic version available on springerprofessional.de and link.springer.com. E-only subscription not available, SpringerLink licensing permitted outside the DACH countries. "
"ADHD Attention Deficit Hyperactivity Disorders","ADHD Attention Deficit and Hyperactivity Disorders","PE OF",12402,"1866-6116","1866-6647","Springer","English",1,"8",4,"Hybrid (Open Choice)",
"ADHESION ADHESIVES&SEALANTS","ADHESION ADHESIVES&SEALANTS","PE",35784,"2192-2624","2195-6545","Springer Vieweg","English",1,"13",4,,"Erratum Journals List: Price amendment. Electronic version available on springerprofessional.de and link.springer.com. E-only subscription not available, SpringerLink licensing permitted outside the DACH countries. "
"Administration Policy Mental Health Mental Health Services Research","Administration and Policy in Mental Health and Mental Health Services Research","PE OF",10488,"0894-587X","1573-3289","Springer","English",1,"43",6,"Hybrid (Open Choice)",
"Adolescent Research Review","Adolescent Research Review","PE OF",40894,"2363-8346","2363-8354","Springer","English",1,"1",4,"Hybrid (Open Choice)","New start in 2016. "
"Adsorption","Adsorption","PE OF",10450,"0929-5607","1572-8757","Springer","English",1,"22",8,"Hybrid (Open Choice)",
"Advanced Modeling Simulation Engineering Sciences","Advanced Modeling and Simulation in Engineering Sciences","E OA S C",40323,,"2213-7467","Springer","English",1,"3",1,"Fully Open Access","Available in electronic format only. Open Access. "
"Advanced Structural Chemical Imaging","Advanced Structural and Chemical Imaging","E OA C",40679,,"2198-0926","Springer","English",1,"2",1,"Fully Open Access","New Start, content expected in 2015. Available in electronic format only. Open Access. "
"Advances Applied Clifford Algebras","Advances in Applied Clifford Algebras","PE OF",6,"0188-7009","1661-4909","Birkhäuser","English",1,"26",4,"Hybrid (Open Choice)",
"Advances Atmospheric Sciences","Advances in Atmospheric Sciences","PE",376,"0256-1530","1861-9533","Science Press, co-published with Springer","English",1,"33",12,"Hybrid (Open Choice)","Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide. "
"Advances Computational Mathematics","Advances in Computational Mathematics","PE OF",10444,"1019-7168","1572-9044","Springer","English",1,"42",6,"Hybrid (Open Choice)",
"Advances Data Analysis Classification","Advances in Data Analysis and Classification","PE OF",11634,"1862-5347","1862-5355","Springer","English",1,"10",4,"Hybrid (Open Choice)",
"Advances Difference Equations","Advances in Difference Equations","E OA C",13662,,"1687-1847","Springer","English",1,"2016",1,"Fully Open Access","Available in electronic format only. Open Access. "
"Advances Gerontology","Advances in Gerontology","PE",13329,"2079-0570","2079-0589","MAIK Nauka/Interperiodica","English",1,"6",4,,"Russian Library of Science. "
"Advances Health Sciences Education","Advances in Health Sciences Education","PE OF",10459,"1382-4996","1573-1677","Springer","English",1,"21",5,"Hybrid (Open Choice)",
"Advances Manufacturing","Advances in Manufacturing","PE OF",40436,"2095-3127","2195-3597","Shanghai University, co-published with Springer","English",1,"4",4,"Hybrid (Open Choice)","Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide. "
"Advances Simulation","Advances in Simulation","E OA C",41077,,"2059-0628","BioMed Central","English",1,"1",1,"Fully Open Access","New start, content expected in 2016. Available in electronic format only. Open Access. "
"Advances Therapy","Advances in Therapy","E OF S",12325,,"1865-8652","Adis","English",1,"33",12,"Hybrid (Open Choice)","Available in electronic format only. "
"Aequationes mathematicae","Aequationes mathematicae","PE OF",10,"0001-9054","1420-8903","Birkhäuser","English",1,"90",6,"Hybrid (Open Choice)",
"Aerobiologia","Aerobiologia","PE OF S",10453,"0393-5965","1573-3025","Springer","English",1,"32",4,"Hybrid (Open Choice)",
"Aesthetic Plastic Surgery","Aesthetic Plastic Surgery","PE OF",266,"0364-216X","1432-5241","Springer","English",1,"40",6,"Hybrid (Open Choice)",
"African Archaeological Review","African Archaeological Review","PE OF",10437,"0263-0338","1572-9842","Springer","English",1,"33",4,"Hybrid (Open Choice)",
"Afrika Matematika","Afrika Matematika","PE OF S",13370,"1012-9405","2190-7668","Springer","English",1,"27",8,"Hybrid (Open Choice)",
"AGE","AGE","PE S C",11357,"0161-9152","1574-4647","Springer","English",1,"38",6,"Hybrid (Open Choice)",
"Ageing International","Ageing International","PE OF",12126,"0163-5158","1936-606X","Springer","English",1,"41",4,"Hybrid (Open Choice)",
"Aging Clinical Experimental Research","Aging Clinical and Experimental Research","E OF",40520,,"1720-8319","Springer","English",1,"28",6,"Hybrid (Open Choice)","Available in electronic format only. "
"Agricultural Food Economics","Agricultural and Food Economics","E OA C",40100,,"2193-7532","Springer","English",1,"4",1,"Fully Open Access","Available in electronic format only. Open Access. "
"Agricultural Research","Agricultural Research","PE OF",40003,"2249-720X","2249-7218","Springer","English",1,"5",4,"Hybrid (Open Choice)",
"Agriculture Food Security","Agriculture & Food Security","E OA C",40066,,"2048-7010","BioMed Central","English",1,"5",1,"Fully Open Access","Available in electronic format only. Open Access. "
"Agriculture Human Values","Agriculture and Human Values","PE OF",10460,"0889-048X","1572-8366","Springer","English",1,"33",4,"Hybrid (Open Choice)",
"Agroforestry Systems","Agroforestry Systems","PE OF",10457,"0167-4366","1572-9680","Springer","English",1,"90",6,"Hybrid (Open Choice)",
"Agronomy Sustainable Development","Agronomy for Sustainable Development","PE OF C",13593,"1774-0746","1773-0155","Springer","English",1,"36",4,"Hybrid (Open Choice)",
"AI SOCIETY","AI & SOCIETY","PE OF",146,"0951-5666","1435-5655","Springer","English",1,"31",4,"Hybrid (Open Choice)",
"AIDS Behavior","AIDS and Behavior","PE OF",10461,"1090-7165","1573-3254","Springer","English",1,"20",12,"Hybrid (Open Choice)",
"AIDS Research Therapy","AIDS Research and Therapy","E OA C",12981,,"1742-6405","BioMed Central","English",1,"13",1,"Fully Open Access","Available in electronic format only. Open Access. "
"Air Quality Atmosphere Health","Air Quality, Atmosphere & Health","E OF",11869,,"1873-9326","Springer","English",1,"9",8,"Hybrid (Open Choice)","Available in electronic format only. "
"Akupunktur Aurikulomedizin","Akupunktur & Aurikulomedizin","PE",15009,"2192-9319","2196-6400","SpringerMedizin","German",1,"42",4,,"Availabel on springermedizin.de. "
"Algebra Logic","Algebra and Logic","PE",10469,"0002-5232","1573-8302","Springer","English",1,"55",6,,"Russian Library of Science. "
"Algebra universalis","Algebra universalis","PE OF",12,"0002-5240","1420-8911","Birkhäuser","English",2,"75-76",4,"Hybrid (Open Choice)",
"Algebras Representation Theory","Algebras and Representation Theory","PE OF",10468,"1386-923X","1572-9079","Springer","English",1,"19",6,"Hybrid (Open Choice)",
"Algorithmica","Algorithmica","PE OF",453,"0178-4617","1432-0541","Springer","English",3,"74-76",4,"Hybrid (Open Choice)",
"Algorithms Molecular Biology","Algorithms for Molecular Biology","E OA C",13015,,"1748-7188","BioMed Central","English",1,"11",1,"Fully Open Access","Available in electronic format only. Open Access. "
"Allergo Journal","Allergo Journal","PE",15007,"0941-8849","2195-6405","SpringerMedizin","German",1,"25",8,,"Available on link.springer.com and springermedizin.de. "
"Allergo Journal International","Allergo Journal International","E",40629,,"2197-0378","SpringerMedizin","English",1,"25",8,,"Available in electronic format only. "
"Allergy Asthma Clinical Immunology","Allergy, Asthma & Clinical Immunology","E OA C",13223,,"1710-1492","BioMed Central","English",1,"12",1,"Fully Open Access","Available in electronic format only. Open Access. "
"Alpine Botany","Alpine Botany","PE OF S",35,"1664-2201","1664-221X","Springer","English",1,"126",2,"Hybrid (Open Choice)",
"ALTEX","ALTEX","P",12270,"1868-596X","1868-8551","Springer Spektrum","English",1,"33",4,,"Electronic version of ALTEX freely available on www.altex.ch. Order through Spektrum Akademischer Verlag. Not available in electronic format. "
"Alzheimer's Research Therapy","Alzheimer's Research & Therapy","E OA C",13195,,"1758-9193","BioMed Central","English",1,"8",1,"Fully Open Access","Available in electronic format only. Open Access. "
"AMB Express","AMB Express","E OA S C",13568,,"2191-0855","Springer","English",1,"6",1,"Fully Open Access","Available in electronic format only. Open Access. "
"Ambio","Ambio","PE OF",13280,"0044-7447","1654-7209","Springer","English",1,"45",8,"Hybrid (Open Choice)",
"American Journal Cardiovascular Drugs","American Journal of Cardiovascular Drugs","PE OF",40256,"1175-3277","1179-187X","Adis","English",1,"16",6,"Hybrid (Open Choice)",
"American Journal Clinical Dermatology","American Journal of Clinical Dermatology","PE OF",40257,"1175-0561","1179-1888","Adis","English",1,"17",6,"Hybrid (Open Choice)",
"American Journal Community Psychology","American Journal of Community Psychology","PE OF",10464,"0091-0562","1573-2770","Springer","English",,,,,"No longer published / distributed by Springer. New publisher: Wiley. "
"American Journal Criminal Justice","American Journal of Criminal Justice","PE OF",12103,"1066-2316","1936-1351","Springer","English",1,"41",4,"Hybrid (Open Choice)",
"American Journal Dance Therapy","American Journal of Dance Therapy","PE OF",10465,"0146-3721","1573-3262","Springer","English",1,"38",2,"Hybrid (Open Choice)",
"American Journal Potato Research","American Journal of Potato Research","PE OF S",12230,"1099-209X","1874-9380","Springer","English",1,"93",6,"Hybrid (Open Choice)",
"American Sociologist","The American Sociologist","PE OF",12108,"0003-1232","1936-4784","Springer","English",1,"47",4,"Hybrid (Open Choice)",
"Amino Acids","Amino Acids","PE OF",726,"0939-4451","1438-2199","Springer","English",1,"48",12,"Hybrid (Open Choice)",
"AMS Review","AMS Review","PE OF S",13162,"1869-814X","1869-8182","Springer","English",1,"6",4,"Hybrid (Open Choice)",
"Anaesthesist","Der Anaesthesist","PE",101,"0003-2417","1432-055X","SpringerMedizin","German",1,"65",12,"Hybrid (Open Choice)",
"Analog Integrated Circuits Signal Processing","Analog Integrated Circuits and Signal Processing","PE OF",10470,"0925-1030","1573-1979","Springer","English",4,"86-89",3,"Hybrid (Open Choice)",
"Analysis Mathematica","Analysis Mathematica","PE OF",10476,"0133-3852","1588-273X","Akadémiai Kiadó, co-published with Springer","English",1,"42",4,,"No sales rights in Hungary. "
"Analysis Mathematical Physics","Analysis and Mathematical Physics","PE OF",13324,"1664-2368","1664-235X","Birkhäuser","English",1,"6",4,"Hybrid (Open Choice)",
"Analysis Verbal Behavior","The Analysis of Verbal Behavior","PE",40616,"0889-9401","2196-8926","Springer","English",1,"32",2,,
"Analytical Bioanalytical Chemistry","Analytical and Bioanalytical Chemistry","PE OF S",216,"1618-2642","1618-2650","Springer","English",1,"408",30,"Hybrid (Open Choice)",
"Anatomical Science International","Anatomical Science International","PE OF S",12565,"1447-6959","1447-073X","Springer","English",1,"91",4,"Hybrid (Open Choice)",
"Angiogenesis","Angiogenesis","PE OF",10456,"0969-6970","1573-7209","Springer","English",1,"19",4,"Hybrid (Open Choice)",
"Animal Biotelemetry","Animal Biotelemetry","E OA C",40317,,"2050-3385","BioMed Central","English",1,"4",1,"Fully Open Access","Available in electronic format only. Open Access. "
"Animal Cognition","Animal Cognition","PE OF S",10071,"1435-9448","1435-9456","Springer","English",1,"19",6,"Hybrid (Open Choice)",
"Annales françaises médecine urgence","Annales françaises de médecine d'urgence","E OF",13341,,"2108-6591","Lavoisier","French",1,"6",6,"Hybrid (Open Choice)","Springerlink licensing permitted (last year 2016). Print and online subscriptions available from Lavoisier. "
"Annales Henri Poincaré","Annales Henri Poincaré","PE OF",23,"1424-0637","1424-0661","Birkhäuser","English",1,"17",12,"Hybrid (Open Choice)",
"Annales mathématiques Québec","Annales mathématiques du Québec","PE OF S",40316,"2195-4755","2195-4763","Springer","English",1,"40",2,"Hybrid (Open Choice)",
"ANNALI DELL'UNIVERSITA' DI FERRARA","ANNALI DELL'UNIVERSITA' DI FERRARA","PE OF",11565,"0430-3202","1827-1510","Springer","English",1,"62",2,"Hybrid (Open Choice)",
"Annali Matematica Pura ed Applicata 1923","Annali di Matematica Pura ed Applicata (1923 -)","PE OF S",10231,"0373-3114","1618-1891","Springer","English",1,"195",6,"Hybrid (Open Choice)",
"Annals Behavioral Medicine","Annals of Behavioral Medicine","PE OF",12160,"0883-6612","1532-4796","Springer","English",1,"50",6,"Hybrid (Open Choice)",
"Annals Behavioral Science Medical Education","Annals of Behavioral Science and Medical Education","E",41106,,"2365-502X","Springer","English",1,"22",2,,"Take-over in 2016. Former publisher: The Association for the Behavioral Sciences and Medical Education. Available in electronic format only. "
"Annals Biomedical Engineering","Annals of Biomedical Engineering","E OF",10439,,"1573-9686","Springer","English",1,"44",12,"Hybrid (Open Choice)","Available in electronic format only. "
"Annals Clinical Microbiology Antimicrobials","Annals of Clinical Microbiology and Antimicrobials","E OA C",12941,,"1476-0711","BioMed Central","English",1,"15",1,"Fully Open Access","Available in electronic format only. Open Access. "
"Annals Combinatorics","Annals of Combinatorics","PE OF",26,"0218-0006","0219-3094","Birkhäuser","English",1,"20",4,"Hybrid (Open Choice)",
"Annals Data Science","Annals of Data Science","PE",40745,"2198-5804","2198-5812","Springer","English",1,"3",4,"Hybrid (Open Choice)",
"Annals Dyslexia","Annals of Dyslexia","PE OF",11881,"0736-9387","1934-7243","Springer","English",1,"66",3,"Hybrid (Open Choice)",
"Annals Finance","Annals of Finance","PE OF",10436,"1614-2446","1614-2454","Springer","English",1,"12",4,"Hybrid (Open Choice)",
"Annals Forest Science","Annals of Forest Science","PE",13595,"1286-4560","1297-966X","Springer","English",1,"73",4,"Hybrid (Open Choice)",
"Annals General Psychiatry","Annals of General Psychiatry","E OA C",12991,,"1744-859X","BioMed Central","English",1,"15",1,"Fully Open Access","Available in electronic format only. Open Access. "
"Annals Global Analysis Geometry","Annals of Global Analysis and Geometry","PE OF",10455,"0232-704X","1572-9060","Springer","English",2,"49-50",4,"Hybrid (Open Choice)",
"Annals Hematology","Annals of Hematology","PE OF S",277,"0939-5555","1432-0584","Springer","English",1,"95",12,"Hybrid (Open Choice)",
"Annals Institute Statistical Mathematics","Annals of the Institute of Statistical Mathematics","PE OF S",10463,"0020-3157","1572-9052","Springer","English",1,"68",5,,
"Annals Intensive Care","Annals of Intensive Care","E OA C",13613,,"2110-5820","Springer","English",1,"6",1,"Fully Open Access","Available in electronic format only. Open Access. "
"Annals Mathematics Artificial Intelligence","Annals of Mathematics and Artificial Intelligence","PE OF",10472,"1012-2443","1573-7470","Springer","English",3,"76-78",4,"Hybrid (Open Choice)",
"Annals Microbiology","Annals of Microbiology","PE OF S",13213,"1590-4261","1869-2044","Springer","English",1,"66",4,"Hybrid (Open Choice)",
"Annals Nuclear Medicine","Annals of Nuclear Medicine","PE OF S",12149,"0914-7187","1864-6433","Springer","English",1,"30",10,"Hybrid (Open Choice)",
"Annals Occupational Environmental Medicine","Annals of Occupational and Environmental Medicine","E OA C",40557,,"2052-4374","BioMed Central","English",1,"28",1,"Fully Open Access","Available in electronic format only. Open Access. "
"Annals Operations Research","Annals of Operations Research","PE OF",10479,"0254-5330","1572-9338","Springer","English",12,"236-247",2,"Hybrid (Open Choice)",
"Annals PDE","Annals of PDE","E C",40818,,"2199-2576","Springer","English",1,"2",1,"Hybrid (Open Choice)","Available in electronic format only. "
"Annals Regional Science","The Annals of Regional Science","PE OF",168,"0570-1864","1432-0592","Springer","English",2,"56-57",3,"Hybrid (Open Choice)",
"Annals Solid Structural Mechanics","Annals of Solid and Structural Mechanics","E OF",12356,,"1867-6944","Springer","English",1,"8",2,"Hybrid (Open Choice)","Available in electronic format only. "
"Annals Surgical Innovation Research","Annals of Surgical Innovation and Research","E OA C",13022,,"1750-1164","BioMed Central","English",1,"10",1,"Fully Open Access","Erratum Journals List: No longer published / distributed by BioMed Central. "
"Annals Surgical Oncology","Annals of Surgical Oncology","PE OF S",10434,"1068-9265","1534-4681","Springer","English",1,"23",13,"Hybrid (Open Choice)",
"Annals Telecommunications","Annals of Telecommunications","PE OF",12243,"0003-4347","1958-9395","Springer","English",1,"71",12,"Hybrid (Open Choice)","Erratum Journals List: Title change. Prior to Volume 71 (2016) published as ""annals of telecommunications - annales des télécommunications"". "
"Antimicrobial Resistance Infection Control","Antimicrobial Resistance & Infection Control","E OA C",13756,,"2047-2994","BioMed Central","English",1,"5",1,"Fully Open Access","Available in electronic format only. Open Access. "
"Antonie van Leeuwenhoek","Antonie van Leeuwenhoek","PE OF S",10482,"0003-6072","1572-9699","Springer","English",1,"109",12,"Hybrid (Open Choice)",
"Apidologie","Apidologie","PE OF",13592,"0044-8435","1297-9678","Springer","English",1,"47",6,"Hybrid (Open Choice)",
"Apoptosis","Apoptosis","PE OF",10495,"1360-8185","1573-675X","Springer","English",1,"21",12,"Hybrid (Open Choice)",
"Applicable Algebra Engineering Communication Computing","Applicable Algebra in Engineering, Communication and Computing","PE OF",200,"0938-1279","1432-0622","Springer","English",1,"27",6,"Hybrid (Open Choice)",
"Applications Mathematics","Applications of Mathematics","PE",10492,"0862-7940","1572-9109","Springer","English",1,"61",6,,
"Applied Adhesion Science","Applied Adhesion Science","E OA S C",40563,,"2196-4351","Springer","English",1,"4",1,"Fully Open Access","Available in electronic format only. Open Access. "
"Applied Biochemistry Biotechnology","Applied Biochemistry and Biotechnology","PE OF S",12010,"0273-2289","1559-0291","Springer","English",3,"178-180",8,"Hybrid (Open Choice)",
"Applied Biochemistry Microbiology","Applied Biochemistry and Microbiology","PE",10438,"0003-6838","1608-3024","MAIK Nauka/Interperiodica","English",1,"52",9,,"Russian Library of Science. "
"Applied Biological Chemistry","Applied Biological Chemistry","PE",13765,"2468-0834",,"The Korean Society for Applied Biological Chemistry, co-published with Springer","English",1,"59",6,"Hybrid (Open Choice)","Erratum Journals List: Title Change. Prior to Volume 59 (2016) published as Journal of the Korean Society for Applied Biological Chemistry. "
"Applied Categorical Structures","Applied Categorical Structures","PE OF",10485,"0927-2852","1572-9095","Springer","English",1,"24",6,"Hybrid (Open Choice)",
"Applied Composite Materials","Applied Composite Materials","PE OF",10443,"0929-189X","1573-4897","Springer","English",1,"23",6,"Hybrid (Open Choice)",
"Applied Entomology Zoology","Applied Entomology and Zoology","PE OF S",13355,"0003-6862","1347-605X","Springer","English",1,"51",4,"Hybrid (Open Choice)",
"Applied Geomatics","Applied Geomatics","PE OF",12518,"1866-9298","1866-928X","Springer","English",1,"8",4,"Hybrid (Open Choice)",
"Applied Geophysics","Applied Geophysics","PE",11770,"1672-7975","1993-0658","Chinese Geophysical Society, co-published with Springer","English",1,"13",4,,"Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide. "
"Applied Health Economics Health Policy","Applied Health Economics and Health Policy","PE OF",40258,"1175-5652","1179-1896","Adis","English",1,"14",6,"Hybrid (Open Choice)",
"Applied Informatics","Applied Informatics","E OA C",40535,,"2196-0089","Springer","English",1,"3",1,"Fully Open Access","Chinese Library of Science. Available in electronic format only. Open Access. "
"Applied Intelligence","Applied Intelligence","PE OF",10489,"0924-669X","1573-7497","Springer","English",2,"44-45",4,"Hybrid (Open Choice)",
"Applied Magnetic Resonance","Applied Magnetic Resonance","PE OF",723,"0937-9347","1613-7507","Springer","English",1,"47",12,"Hybrid (Open Choice)",
"Applied Mathematics Mechanics","Applied Mathematics and Mechanics","PE OF",10483,"0253-4827","1573-2754","Shanghai University, co-published with Springer","English",1,"37",12,,"Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide. "
"Applied Mathematics Optimization","Applied Mathematics & Optimization","PE OF",245,"0095-4616","1432-0606","Springer","English",2,"73-74",3,"Hybrid (Open Choice)",
"Applied Mathematics-A Journal Chinese Universities","Applied Mathematics-A Journal of Chinese Universities","PE",11766,"1005-1031","1993-0445","Editorial Committee of Applied Mathematics - A Journal of Chinese Universities, co-published with Springer","English",1,"31",4,,"Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide. "
"Applied Microbiology Biotechnology","Applied Microbiology and Biotechnology","PE OF S",253,"0175-7598","1432-0614","Springer","English",1,"100",24,"Hybrid (Open Choice)",
"Applied Nanoscience","Applied Nanoscience","E OA OF",13204,,"2190-5517","Springer","English",1,"6",8,"Fully Open Access","Available in electronic format only. Open Access. "
